frase,situacao
Sinus tachycardia with sinus arrhythmia with PACs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with interpolated PVC(s) with 1st degree A-V block.,baixo risco
Sinus arrhythmia with multifocal PVCs with 1st degree A-V block,baixo risco
Marked sinus bradycardia with PVC(s),baixo risco
Possible junctional rhythm with PVC(s),baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVCs.,baixo risco
Sinus tachycardia with frequent PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with non-sustained ventricular tachycardia with 1st degree A-V block.,alto risco
Sinus tachycardia with frequent PACs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with multifocal interpolated PVCs.,baixo risco
Atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with sinus arrhythmia with PVC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PAC(s) with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with PVC(s),baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs,baixo risco
Atrial flutter with rapid ventricular response with 2:1 A-V block with non-sustained ventricular tachycardia.,alto risco
Sinus bradycardia with intermittent conduction defect,baixo risco
Sinus tachycardia with frequent PVCs with PAC(s) with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVC(s).,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVC(s),baixo risco
Sinus tachycardia with multifocal PVCs with PACs with borderline 1st degree A-V block,baixo risco
Possible junctional rhythm with PVCs.,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with interpolated PVCs.,baixo risco
Sinus arrhythmia with multifocal interpolated PVCs with 1st degree A-V block.,baixo risco
Sinus bradycardia with PVC(s) with PAC(s) with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree A-V block,baixo risco
Pacemaker rhythm,baixo risco
WIDE COMPLEX TACHYCARDIA - POSSIBLE VENTRICULAR TACHYCARDIA,alto risco
Sinus tachycardia with interpolated PVC(s) with PAC(s),baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVCs with borderline 1st degree A-V block,baixo risco
Sinus rhythm with non-sustained ventricular tachycardia with borderline 1st degree A-V block,alto risco
Sinus arrhythmia with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal PVCs with PAC(s),baixo risco
Sinus tachycardia with multifocal PVCs with PAC(s) with borderline 1st degree A-V block.,baixo risco
Possible accelerated junctional rhythm with PVCs,baixo risco
Sinus tachycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with multifocal PVCs.,baixo risco
Sinus rhythm with PAC(s) with PVC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVCs with PACs,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVCs.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia with PAC(s).,alto risco
Possible atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus arrhythmia with interpolated PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus arrhythmia with interpolated PVCs with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with PAC(s) with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with frequent multifocal PVCs with borderline 1st degree A-V block.,baixo risco
Possible accelerated junctional rhythm with paroxysmal idioventricular rhythm.,baixo risco
Sinus tachycardia with PVC(s) with 1st degree A-V block.,baixo risco
Sinus tachycardia with PACs with 1st degree A-V block,baixo risco
Sinus bradycardia with intermittent conduction defect with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with PVCs with 1st degree A-V block,baixo risco
Probable accelerated junctional rhythm with frequent PVCs,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVC(s) with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with interpolated PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with non-sustained ventricular tachycardia with borderline 1st degree A-V block,alto risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block.,baixo risco
Sinus arrhythmia with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with interpolated PVCs,baixo risco
Sinus tachycardia with sinus arrhythmia with fusion complexes,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with interpolated PVC(s),baixo risco
Sinus arrhythmia with fusion complexes with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with PVCs with occasional PACs.,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with multifocal PVCs,baixo risco
Sinus rhythm with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with interpolated PVC(s),baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with interpolated PVCs.,baixo risco
Sinus tachycardia with frequent multifocal PVCs with occasional PACs,baixo risco
Sinus bradycardia with PVC(s) with PAC(s) with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with PVC(s) with 1st degree A-V block.,baixo risco
Sinus tachycardia with frequent PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with frequent multifocal PVCs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with multifocal PVCs with PAC(s) with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with frequent PVCs with PAC(s),baixo risco
Sinus bradycardia with interpolated PVC(s) with PAC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with fusion complexes,baixo risco
POSSIBLE JUNCTIONAL RHYTHM,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with multifocal PVCs.,baixo risco
Sinus bradycardia with 2:1 A-V block,baixo risco
Sinus arrhythmia with interpolated PVCs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with non-sustained ventricular tachycardia with PACs,alto risco
Sinus bradycardia with sinus arrhythmia with frequent multifocal PVCs.,baixo risco
Sinus tachycardia with sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block,baixo risco
Possible junctional rhythm with PVCs,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs with PACs,baixo risco
Sinus tachycardia with PAC(s) with PVC(s),baixo risco
Sinus bradycardia with PVCs with PACs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with paroxysmal idioventricular rhythm with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with frequent PVCs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs with PAC(s),baixo risco
Sinus arrhythmia with paroxysmal idioventricular rhythm,baixo risco
Sinus bradycardia with fusion complexes,baixo risco
"PROBABLE SUPRAVENTRICULAR TACHYCARDIA, BUT CONSIDER SINUS OR PAROXYSMAL ATRIAL TACHYCARDIA",alto risco
Sinus bradycardia with interpolated PVCs with PACs.,baixo risco
Probable accelerated junctional rhythm with multifocal PVCs,baixo risco
Sinus bradycardia with sinus arrhythmia with interpolated PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with 1st degree A-V block.,baixo risco
Probable atrial fibrillation with non-sustained ventricular tachycardia,alto risco
Sinus bradycardia with multifocal PVCs with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with undetermined irregularity with 1st degree A-V block.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal PVCs with PAC(s).,baixo risco
Sinus tachycardia with sinus arrhythmia with undetermined irregularity,baixo risco
Sinus bradycardia with fusion complexes with 1st degree A-V block,baixo risco
Sinus bradycardia with interpolated PVCs with PACs,baixo risco
Atrial flutter with uncontrolled ventricular response with non-sustained ventricular tachycardia.,alto risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs.,baixo risco
Sinus bradycardia with frequent PVCs with PAC(s).,baixo risco
Sinus tachycardia with non-sustained ventricular tachycardia with PAC(s),alto risco
Sinus bradycardia with sinus arrhythmia with multifocal PVCs with 1st degree A-V block,baixo risco
Possible accelerated junctional rhythm with interpolated PVC(s),baixo risco
Atrial flutter with uncontrolled ventricular response with 2:1 A-V block with non-sustained ventricular tachycardia.,alto risco
Possible accelerated junctional rhythm with PVC(s),baixo risco
Possible accelerated junctional rhythm with PVCs.,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVCs.,baixo risco
Sinus arrhythmia are borderline abnormal for age/sex,baixo risco
Sinus tachycardia with sinus arrhythmia with PAC(s) with borderline 1st degree A-V block.,baixo risco
Probable accelerated junctional rhythm with intermittent conduction defect,baixo risco
Sinus bradycardia with occasional PACs with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s),baixo risco
Sinus rhythm with PACs with PVCs with 1st degree A-V block,baixo risco
Probable sinus tachycardia with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with PACs with PVCs.,baixo risco
Sinus tachycardia with intermittent conduction defect with PAC(s).,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s).,baixo risco
Possible accelerated junctional rhythm with frequent multifocal PVCs,baixo risco
Sinus tachycardia with fusion complexes with 1st degree A-V block,baixo risco
Probable supraventricular tachycardia with PVCs.,alto risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with multifocal PVCs,baixo risco
Sinus bradycardia with frequent PACs.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs with PAC(s).,baixo risco
Sinus tachycardia with sinus arrhythmia with PACs with 1st degree A-V block,baixo risco
Sinus bradycardia with intermittent conduction defect with borderline 1st degree A-V block,baixo risco
Sinus rhythm with PACs with PVCs with borderline 1st degree A-V block,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with interpolated PVCs.,baixo risco
Sinus tachycardia with PAC(s) with PVC(s).,baixo risco
Probable supraventricular tachycardia with PVCs,alto risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PAC(s).,baixo risco
Sinus bradycardia with frequent multifocal PVCs with 1st degree A-V block.,baixo risco
Probable accelerated junctional rhythm with frequent multifocal PVCs.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal PVCs with PACs.,baixo risco
Sinus tachycardia with PVC(s) with PAC(s) with 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with frequent PVCs with 1st degree A-V block.,baixo risco
Sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with undetermined irregularity,baixo risco
Sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree A-V block,baixo risco
Sinus tachycardia with frequent multifocal PVCs with borderline 1st degree A-V block,baixo risco
Atrial flutter with uncontrolled ventricular response with non-sustained ventricular tachycardia,alto risco
Probable accelerated junctional rhythm with paroxysmal idioventricular rhythm.,baixo risco
Sinus bradycardia with multifocal PVCs with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with multifocal PVCs with PACs,baixo risco
Sinus bradycardia with sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block,baixo risco
Sinus tachycardia with intermittent conduction defect with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs with 1st degree A-V block,baixo risco
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVCs with borderline 1st degree A-V block.,baixo risco
Sinus tachycardia with occasional PACs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs.,baixo risco
Sinus bradycardia with multifocal interpolated PVCs with 1st degree A-V block.,baixo risco
Sinus tachycardia with frequent multifocal PVCs with PACs,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with interpolated PVCs.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal interpolated PVCs,baixo risco
Sinus rhythm with PAC(s) with PVC(s),baixo risco
Sinus bradycardia with occasional PACs with 1st degree A-V block,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block.,baixo risco
Sinus rhythm with non-sustained ventricular tachycardia with 1st degree A-V block,alto risco
Sinus bradycardia with frequent multifocal PVCs with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with multifocal PVCs with 1st degree A-V block,baixo risco
Sinus bradycardia with interpolated PVCs with PACs with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with occasional PACs,baixo risco
Sinus tachycardia with sinus arrhythmia with interpolated PVC(s) or aberrant ventricular conduction.,baixo risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia with PACs.,alto risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal PVCs.,baixo risco
Sinus bradycardia with sinus arrhythmia with undetermined irregularity with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with 2:1 A-V block.,baixo risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia,alto risco
Possible accelerated junctional rhythm with multifocal PVCs,baixo risco
Sinus bradycardia with sinus arrhythmia with occasional PACs with 1st degree A-V block.,baixo risco
Sinus tachycardia with interpolated PVC(s) with PAC(s).,baixo risco
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with multifocal interpolated PVCs with 1st degree A-V block,baixo risco
Sinus rhythm with non-sustained ventricular tachycardia with borderline 1st degree A-V block.,alto risco
Sinus bradycardia with sinus arrhythmia with interpolated PVCs with 1st degree A-V block.,baixo risco
Sinus rhythm with PAC(s) with PVC(s).,baixo risco
Sinus tachycardia with frequent multifocal PVCs with PACs with borderline 1st degree A-V block.,baixo risco
rSr'(V1) - probable normal variant,baixo risco
Possible anterior infarct - age undetermined,alto risco
Poor R wave progression - probable normal variant,baixo risco
Anterior T wave changes are nonspecific,baixo risco
Inferior and anterior T wave changes are nonspecific,baixo risco
Leftward axis,baixo risco
Possible anteroseptal infarct - age undetermined,alto risco
Inferior T wave changes are nonspecific,baixo risco
Anteroseptal infarct - age undetermined,alto risco
"Inferior infarct, age indeterminate",alto risco
Inferior infarct - age undetermined,alto risco
"Low voltage, precordial leads",baixo risco
WITHIN NORMAL LIMITS,baixo risco
Left axis deviation,baixo risco
Right bundle branch block,baixo risco
LEFT AXIS DEVIATION,baixo risco
Pacemaker rhythm - no further analysis,baixo risco
Lateral T wave changes are nonspecific,baixo risco
Old inferior infarct,alto risco
Possible septal infarct - age undetermined,alto risco
- supraventricular extrasystoles,alto risco
Possible inferior infarct - age undetermined,alto risco
Cannot rule out anterior infarct - age undetermined,alto risco
Inferior T wave changes may be normal for age,baixo risco
MARKED LEFT AXIS DEVIATION,baixo risco
Ant/septal and lateral T wave changes are nonspecific,baixo risco
Left axis deviation - possible left anterior fascicular block,baixo risco
Probable lateral infarct - age undetermined,alto risco
Possible lateral infarct - age undetermined,alto risco
Inferior and ant/septal ST elevation - possible early repolarization,alto risco
Inferior ST elevation - possible early repolarization,alto risco
Cannot rule out anteroseptal infarct - age undetermined,alto risco
"Low voltage, extremity leads",baixo risco
Septal T wave changes are nonspecific,baixo risco
"Inferior infarct, old",alto risco
Poor R wave progression V2-V4,baixo risco
Left axis deviation - anterior fascicular block,baixo risco
Inferior ST elevation suggests early repolarization,alto risco
Septal+lateral T wave changes are nonspecific,baixo risco
Anterolateral T wave changes are nonspecific,baixo risco
Anteroseptal T wave changes are nonspecific,baixo risco
"Anterior infarct, old",alto risco
"Borderline ST elevation, anterolateral leads",alto risco
Probable old septal infarct,alto risco
Extensive T wave changes are nonspecific,baixo risco
"Borderline ST elevation, anterior leads",alto risco
NO FURTHER ANALYSIS MADE BECAUSE OF PACEMAKER RHYTHM.,baixo risco
"Lateral infarct, acute",alto risco
"ST elevation, consider inferior injury",alto risco
Inferior ST elevation - cannot rule out myocardial injury,alto risco
POSSIBLE SEPTAL INFARCTION - AGE UNDETERMINED,alto risco
"Probable anterior infarct, age indeterminate",alto risco
LEFT AXIS DEVIATION - LEFT ANTERIOR FASCICULAR BLOCK,baixo risco
Inferior and lateral ST elevation - possible early repolarization,alto risco
ST elevation suggests acute pericarditis,alto risco
Inferior and septal T wave changes are nonspecific,baixo risco
Inferior/lateral T wave changes are nonspecific,baixo risco
"Low voltage, extremity and precordial leads",baixo risco
Marked left axis deviation,baixo risco
Lateral ST elevation - possible early repolarization,alto risco
Cannot rule out septal infarct - age undetermined,alto risco
Extensive ST elevation suggests pericarditis,alto risco
LEFTWARD AXIS,baixo risco
"Anterolateral infarct, age indeterminate",alto risco
Ventricular preexcitation(WPW),alto risco
Anteroseptal T wave changes suggest myocardial infarct,alto risco
Anterior infarct - age undetermined,alto risco
"Anteroseptal infarct, old",alto risco
"Anteroseptal infarct, age indeterminate",alto risco
"Probable anteroseptal infarct, old",alto risco
"Extensive ST elevation, consider pericarditis",alto risco
Septal ST elevation - cannot rule out myocardial injury,alto risco
QRS changes V3/V4 may be due to LVH but cannot rule out anterior infarct,alto risco
Inferior ST-T changes may be normal for age,baixo risco
Anteroseptal ST elevation - possible early repolarization,alto risco
Probable old anteroseptal infarct,alto risco
Inferior/lateral T wave changes may be normal for age,baixo risco
*** ANTEROSEPTAL INFARCT - POSSIBLY ACUTE ***,alto risco
"Ventricular tachycardia, unsustained",alto risco
- non-sustained ventricular tachycardia,alto risco
Anteroseptal ST elevation - cannot rule out myocardial injury,alto risco
Incomplete right bundle branch block,baixo risco
Abnormal Q suggests anterior infarct,alto risco
SUPRAVENTRICULAR EXTRASYSTOLES,alto risco
INFERIOR INFARCTION - AGE UNDETERMINED,alto risco
- aberrantly conducted supraventricular extrasystoles,alto risco
Inferior and lateral ST elevation suggests early repolarization,alto risco
Inferior and lateral ST elevation,alto risco
Lateral ST elevation suggests early repolarization,alto risco
Possible old anterior infarct,alto risco
Anterior ST elevation - repeat if myocardial injury is suspected,alto risco
Septal T wave changes are normal for age,baixo risco
Anterolateral infarct - age undetermined,alto risco
Lateral infarct - age undetermined,alto risco
Tall T waves - consider acute ischemia or hyperkalemia,alto risco
*** ANTERIOR INFARCT - POSSIBLY ACUTE ***,alto risco
Inferior + anterior T wave change are nonspecific,baixo risco
Inferior and ant/septal T wave changes may be due to myocardial infarct or CVA,alto risco
Low voltage with right axis deviation,baixo risco
Consider anterior infarct,alto risco
POSSIBLE ACUTE INFERIOR INFARCT,alto risco
Inferior infarct - probably acute,alto risco
"Anterior infarct, acute",alto risco
POSSIBLE OLD ANTERIOR INFARCTION,alto risco
"Anterior ST elevation, consider recent infarction",alto risco
QRS changes in V2 may be due to LVH but cannot rule out septal infarct,alto risco
"Probable inferior infarct, age indeterminate",alto risco
Probable anteroseptal infarct - age undetermined,alto risco
Anterolateral ST elevation suggests early repolarization,alto risco
Anterolateral ST elevation - possible early repolarization,alto risco
Possible old lateral infarct,alto risco
Extensive ST elevation - consider pericarditis,alto risco
Probable old lateral infarct,alto risco
"ST elevation, consider anterior injury",alto risco
POSSIBLE OLD INFERIOR INFARCTION,alto risco
Extensive ST elevation,alto risco
*** SEPTAL INFARCT - POSSIBLY ACUTE ***,alto risco
"Borderline ST elevation, lateral leads",alto risco
Possible old inferior infarct,alto risco
Inferior/lateral T changes are abnormal for age/sex,baixo risco
Inferior and ant/septal T wave changes are nonspecific,baixo risco
Extensive ST-T changes suggest myocardial infarct,alto risco
FREQUENT SUPRAVENTRICULAR EXTRASYSTOLES,alto risco
"Posterior infarct, old",alto risco
Inferior and lateral ST elevation - repeat if myocardial injury is suspected,alto risco
Possible anterior infarct,alto risco
Probable inferior infarct - age undetermined,alto risco
Ant/septal+lateral T wave changes are nonspecific,baixo risco
Consider old septal infarct,alto risco
Borderline high QRS voltage - probable normal variant,baixo risco
"Probable anterolateral infarct, age indeterm",alto risco
"ST elevation, consider anterolateral injury",alto risco
POSSIBLE ACUTE ANTERIOR INFARCT,alto risco
Anterior ST elevation - cannot rule out myocardial injury,alto risco
Possible recent anterior infarct,alto risco
PROBABLE NORMAL VARIANT,baixo risco
Ant/septal and lateral T wave changes suggest myocardial infarct,alto risco
- frequent supraventricular extrasystoles,alto risco
Probable old inferior infarct,alto risco
"Inferior infarct, acute",alto risco
ANTERIOR INFARCTION - AGE UNDETERMINED,alto risco
"Probable anteroseptal infarct, recent",alto risco
"Inferoposterior infarct, recent",alto risco
"Borderline low voltage, extremity leads",baixo risco
"Anteroseptal ST elevation, consider recent infarction",alto risco
*** INFERIOR INFARCT - POSSIBLY ACUTE ***,alto risco
PROBABLE ABERRANTLY CONDUCTED SUPRAVENTRICULAR EXTRASYSTOLES,alto risco
SINO-ATRIAL 2nd DEGREE MOBITZ II BLOCK,alto risco
Extensive ST-T changes are abnormal for age/sex,baixo risco
"Anterolateral infarct, acute",alto risco
*** ANTEROLATERAL INFARCT - POSSIBLY ACUTE ***,alto risco
POSSIBLE ACUTE ANTEROSEPTAL INFARCT,alto risco
Nonspecific repolarization abnormalities,baixo risco
"Probable anterolateral infarct, old",alto risco
Extensive ST-T changes may be due to myocardial infarct or CVA,alto risco
Lateral ST elevation - repeat if myocardial injury is suspected,alto risco
POSSIBLE ACUTE ANTEROLATERAL INFARCT,alto risco
Poor R wave progression - cannot rule out anteroseptal infarct,alto risco
"Marked precordial ST depression, CONSIDER ACUTE INFARCT",alto risco
Consider inferior infarct,alto risco
"Probable lateral infarct, age indeterminate",alto risco
Lateral ST elevation - cannot rule out myocardial injury,alto risco
RIGHT BUNDLE BRANCH BLOCK,baixo risco
Anteroseptal ST elevation suggests early repolarization,alto risco
Septal ST elevation - repeat if myocardial injury is suspected,alto risco
"Anterior infarct, age indeterminate",alto risco
OLD INFERIOR INFARCTION,alto risco
SHORT PR : POSSIBLE VENTRICULAR PREEXCITATION,alto risco
Wolff-Parkinson-White pattern type B,alto risco
QRS changes may be due to LVH but cannot rule out anteroseptal infarct,alto risco
Anteroseptal ST-T changes suggest myocardial infarct,alto risco
Anterior T wave changes are borderline abnormal for age/sex,baixo risco
Borderline left axis deviation,baixo risco
"Anteroseptal infarct, acute",alto risco
Extensive T wave changes suggest myocardial infarct,alto risco
"Inferoposterior infarct, age indeterminate",alto risco
Inferior/lateral ST-T changes may be normal for age,baixo risco
Consider acute anteroseptal infarct,alto risco
Consider old anteroseptal infarct,alto risco
Anterior T wave changes are normal for age,baixo risco
(9@128) suggests early repolarization,baixo risco
Anterolateral T wave changes suggest myocardial infarct,alto risco
"Probable inferior infarct, old",alto risco
"Borderline ST elevation, inferior leads",alto risco
Inferior/lateral ST-T changes suggest myocardial infarction,alto risco
Inferior ST changes may be normal for age,baixo risco
POSSIBLE ANTERIOR INFARCTION - AGE UNDETERMINED,alto risco
POSSIBLE OLD ANTEROSEPTAL INFARCTION,alto risco
Anterolateral ST elevation - cannot rule out myocardial injury,alto risco
Inferior and lateral ST elevation - cannot rule out myocardial injury,alto risco
Ant/septal+lateral T wave changes suggest myocardial infarction,alto risco
"Extensive ST elevation, CONSIDER ACUTE INFARCT",alto risco
"Inferoposterior infarct, acute",alto risco
"Anterior ST elevation, probably due to LVH",alto risco
"Posterior infarct, acute",alto risco
PROBABLE OLD SEPTAL INFARCTION,alto risco
QRS changes V3/V4 - probably due to LVH but consider anterior infarct,alto risco
Probable acute inferior infarct,alto risco
Consider Wolff-Parkinson-White pattern type B,alto risco
"Inferior + anterior ST elevation, consider recent infarction",alto risco
Inferior ST elevation - repeat if myocardial injury is suspected,alto risco
PROBABLE INFERIOR INFARCTION - AGE UNDETERMINED,alto risco
Inferior + anterior T wave change are borderline abnormal for age/sex,baixo risco
"Probable anterior infarct, old",alto risco
Short PR interval are borderline abnormal for age/sex,baixo risco
Extensive T wave changes suggest myocardial infarction,alto risco
"Anterior infarct, possibly acute",alto risco
Anteroseptal infarct - possibly acute,alto risco
Old anteroseptal infarct,alto risco
PROBABLE OLD INFERIOR INFARCTION,alto risco
"Inferior and lateral ST elevation, CONSIDER ACUTE INFARCT",alto risco
"ST elevation, consider lateral injury",alto risco
"Inferolateral infarct, acute",alto risco
Consider anteroseptal infarct - age undetermined,alto risco
"Anterolateral Q wave, probably normal for age",baixo risco
Anteroseptal T wave changes suggest myocardial infarction,alto risco
PROBABLE ANTEROSEPTAL INFARCTION - AGE UNDETERMINED,alto risco
Probable old anterior infarct,alto risco
*** LATERAL INFARCT - POSSIBLY ACUTE ***,alto risco
"Lateral infarct, recent",alto risco
Septal T wave changes are abnormal for age/sex,baixo risco
Anteroseptal ST elevation - repeat if myocardial injury is suspected,alto risco
Inferior and lateral ST elevation may be a normal variant for age,alto risco
Possible acute anterior infarct,alto risco
POSSIBLE OLD SEPTAL INFARCTION,alto risco
Inferior T wave changes are borderline abnormal for age/sex,baixo risco
Anterolateral ST-T changes suggest myocardial infarct,alto risco
"Probable anteroseptal infarct, acute",alto risco
Probable septal infarct - age undetermined,alto risco
High QRS voltage - probable normal variant,baixo risco
Old lateral infarct,alto risco
"Inferior and ant/septal ST elevation, CONSIDER ACUTE INFARCT",alto risco
"Anterolateral infarct, old",alto risco
"Probable anterior infarct, acute",alto risco
POSSIBLE ACUTE SEPTAL INFARCT,alto risco
Sinus tachycardia with paroxysmal idioventricular rhythm with PACs with borderline 1st degree A-V block,baixo risco
Ant/septal and lateral ST-T changes suggest myocardial infarct,alto risco
Anterior ST-T changes are abnormal for age/sex,baixo risco
Extensive ST changes are borderline abnormal for age/sex,baixo risco
Extensive ST-T changes suggest myocardial infarction,alto risco
"LAD, consider LAFB or inferior infarct",alto risco
QRS changes in V2 probably due to LVH but consider septal infarct,alto risco
Anterior ST elevation may be a normal variant for age,alto risco
Anteroseptal infarct - probably acute,alto risco
LEFT AXIS DEVIATION - POSSIBLE LEFT ANTERIOR FASCICULAR BLOCK,baixo risco
Consider septal infarct,alto risco
NON-SUSTAINED VENTRICULAR TACHYCARDIA,alto risco
PROBABLE OLD ANTEROSEPTAL INFARCTION,alto risco
Probable recent anteroseptal infarct,alto risco
Extensive T wave changes may be due to myocardial infarct or CVA,alto risco
Sinus bradycardia with multifocal PVCs with PAC(s) with borderline 1st degree A-V block.,baixo risco
Anterolateral ST elevation,alto risco
Anterolateral ST-T changes are borderline abnormal for age/sex,baixo risco
QRS changes probably due to LVH but consider anteroseptal infarct,alto risco
Extensive ST-T changes are borderline abnormal for age/sex,baixo risco
Inferior + anterior ST-T change are borderline abnormal for age/sex,baixo risco
Abnormal Q suggests inferior infarct,alto risco
"Inferolateral infarct, old",alto risco
POSSIBLE ANTEROSEPTAL INFARCTION - AGE UNDETERMINED,alto risco
Inferior + anterior ST elevation - repeat if myocardial injury is suspected,alto risco
