frase,situacao
Summary: BRADYCARDIA - OTHERWISE NORMAL,baixo risco
POSSIBLE ACUTE INFERIOR INFARCTION,alto risco
CONSIDER ACUTE INFERIOR INFARCTION,alto risco
PROBABLE POOR R WAVE PROGRESSION BUT CONSIDER ANTEROSEPTAL INFARCT,alto risco
CONSIDER ANTEROSEPTAL INFARCT - ALTHOUGH CHANGES V2-V4 MAY BE DUE TO LVH ALSO PRESENT,alto risco
"Inferior + septal ST elevation, consider recent infarction",alto risco
CONSIDER ACUTE LATERAL INFARCTION,alto risco
Inferior and ant/septal ST elevation suggests early repolarization,alto risco
CONSIDER ACUTE INFERIOR AND LATERAL INFARCTION,alto risco
PROBABLE ANTERIOR INFARCTION - AGE UNDETERMINED,alto risco
ANTEROSEPTAL INFARCTION - POSSIBLY ACUTE,alto risco
Acute inferior infarct,alto risco
POSSIBLE OLD LATERAL INFARCTION,alto risco
CONSIDER ACUTE ANTEROLATERAL INFARCTION,alto risco
Anterior T wave changes may be due to myocardial infarction or CVA,alto risco
Lateral infarct - probably acute,alto risco
Possible posterior infarct - age undetermined,alto risco
ANTEROLATERAL INFARCTION - AGE UNDETERMINED,alto risco
Anteroseptal ST-T changes may be due to myocardial infarct or CVA,alto risco
Anterolateral ST elevation - probable extension of infarct,alto risco
Possible recent inferior infarct,alto risco
Inferior and lateral ST elevation - probable lateral extension of infarct,alto risco
Anteroseptal T wave changes may be due to myocardial infarct or CVA,alto risco
RECENT LATERAL INFARCTION,alto risco
CONSIDER ACUTE SEPTAL INFARCTION,alto risco
Anteroseptal ST changes suggest myocardial infarction,alto risco
Inferior/lateral T changes may be due to myocardial infarction or CVA,alto risco
Inferior and lateral ST elevation - probable post operative pericarditis,alto risco
CONSIDER ACUTE ANTEROSEPTAL INFARCTION,alto risco
RECENT INFERIOR INFARCTION,alto risco
Inferior ST-T changes suggest myocardial infarction,alto risco
CHANGES IN V2 ARE PROBABLY RELATED TO POOR R WAVE PROGRESSION BUT SEPTAL INFARCTION CANNOT BE EXCLUDED,alto risco
Inferior ST elevation - probable post operative pericarditis,alto risco
CONSIDER ACUTE INFARCTION,alto risco
Acute lateral infarct,alto risco
Lateral ST-T changes are consistent with myocardial ischemia,alto risco
CONSIDER ACUTE INFERIOR AND ANTEROSEPTAL INFARCTION,alto risco
Probable acute lateral infarct,alto risco
"Minimal ST elevation, lateral leads",alto risco
CONSIDER ANTERIOR INFARCTION - ALTHOUGH CHANGES V3-V4 MAY BE DUE TO LEFT VENTRICULAR HYPERTROPHY ALSO PRESENT,alto risco
Inferior + septal ST-T changes suggest myocardial infarction,alto risco
Inferior+ant/septal ST elevation,alto risco
Inferior T wave changes are consistent with myocardial ischemia,alto risco
Anteroseptal ST changes are borderline abnormal for age/sex,baixo risco
CHANGES ARE PROBABLY DUE TO LVH BUT CONSIDER SEPTAL INFARCT,alto risco
Ant/septal+lateral ST-T changes are abnormal for age/sex,baixo risco
PROBABLE POOR R WAVE PROGRESSION BUT CONSIDER SEPTAL INFARCT,alto risco
ANTERIOR INFARCTION - POSSIBLY ACUTE,alto risco
Anteroseptal ST-T changes suggest myocardial infarction,alto risco
"ANTEROSEPTAL INFARCTION, PROBABLY ACUTE",alto risco
Anterolateral infarct - probably acute,alto risco
Recent anterior infarct,alto risco
Lateral ST-T changes may be due to myocardial infarction or CVA,alto risco
Anteroseptal ST changes may be due to myocardial infarction or CVA,alto risco
Inferior T wave changes consistent with myocardial ischemia,alto risco
Anterolateral infarct - possibly acute,alto risco
CONSIDER SEPTAL INFARCT THOUGH CHANGES IN V2 MAY BE RELATED TO LEFT VENTRICULAR HYPERTROPHY WHICH IS ALSO PRESENT,alto risco
"INFERIOR INFARCTION, PROBABLY ACUTE",alto risco
ANTEROLATERAL INFARCTION - POSSIBLY ACUTE,alto risco
Possible posterior extension of infarct,alto risco
CONSIDER RECENT INFERIOR AND ANTEROSEPTAL INFARCTION,alto risco
"LATERAL INFARCTION, PROBABLY ACUTE",alto risco
Lateral infarct - possibly acute,alto risco
Anteroseptal ST changes may be due to myocardial infarct or CVA,alto risco
Inferior+ant/septal T wave change may be due to myocardial infarction or CVA,alto risco
Inferior and ant/septal ST-T changes may be due to myocardial infarct or CVA,alto risco
CONSIDER RECENT LATERAL INFARCTION,alto risco
CONSIDER ANTEROSEPTAL INFARCT - ALTHOUGH CHANGES V2-V4 MAY BE DUE TO LEFT VENTRICULAR HYPERTROPHY ALSO PRESENT,alto risco
Anterior ST-T changes suggest myocardial infarction,alto risco
Consider recent anteroseptal infarct,alto risco
CONSIDER RECENT SEPTAL INFARCTION,alto risco
ACUTE INFERIOR INFARCTION,alto risco
POSSIBLE ANTEROLATERAL INFARCT - AGE UNDETERMINED,alto risco
CONSIDER RECENT INFERIOR AND LATERAL INFARCTION,alto risco
Inferior and septal ST-T changes suggest myocardial infarct,alto risco
Probable recent inferior infarct,alto risco
Inferior+ant/septal ST elevation consider recent infarction,alto risco
LATERAL INFARCTION - POSSIBLY ACUTE,alto risco
SEPTAL INFARCTION - POSSIBLY ACUTE,alto risco
PROBABLE LATERAL EXTENSION OF INFARCTION,alto risco
Anterolateral T wave changes may be due to myocardial infarct or CVA,alto risco
ACUTE ANTEROLATERAL INFARCTION,alto risco
CHANGES POSSIBLY DUE TO MYOCARDIAL INFARCTION OR CEREBROVASCULAR ACCIDENT,alto risco
Inferior + anterior ST-T change may be due to myocardial infarction or CVA,alto risco
PROBABLY RECIPROCAL TO INFERIOR INFARCT,alto risco
CONSIDER RECENT INFERIOR INFARCTION,alto risco
